OBJECTID;SUID;SU_Count;SU_ModCount;SU_Row;SU_Line;SU_RInt;SU_LInt;SU_LU;SU_AgrCond;SU_Pass;SU_Vis;Strategy;AncientCount;SU_Sample;SU_Diag;SU_Frag;SU_Wear;SU_AC;SU_Daub;SU_HM;SU_Lithic;SU_Notes;SU_Date;Shape_Length;Shape_Area
1216;60180;18;18;5;5;15;15;1;2;1;5;1;0;0;0;0;0;1;0;0;0;;20091020;340.025744468848870;7114.265429121898700
1217;60181;21;21;5;5;15;15;1;2;1;5;1;0;0;0;0;0;1;0;0;0;;20091020;304.583500879064450;5423.258230520094000
1218;60182;3;3;5;5;15;15;1;2;1;5;1;0;1;3;0;0;1;0;0;0;;20091020;346.374602346116210;7467.494262741764000
1219;60183;22;22;5;5;15;15;1;2;1;5;1;0;0;0;0;0;1;0;0;0;;20091020;350.953075243153820;7693.311159754803200
1220;60184;14;14;4;5;15;15;1;2;1;5;1;0;0;0;0;0;1;0;0;0;;20091020;248.584378162799960;3428.901275151366000
1221;60185;15;15;5;5;15;15;1;2;1;5;1;0;1;2;0;0;1;0;0;0;;20091020;314.048521442562790;6083.947108070975400
1222;60186;35;35;5;5;15;15;1;2;1;5;1;0;0;0;0;0;1;0;0;0;;20091020;320.821433299550790;6395.407514581423100
1223;60187;11;11;5;5;15;15;1;2;1;5;1;0;0;0;0;0;1;0;0;0;;20091020;294.052480025270480;5271.874012594498700
1224;60188;2;2;5;5;15;15;1;7;2;4;1;0;0;0;0;0;0;0;0;0;;20091020;322.286156762881720;5883.718738978961500
1225;60377;0;0;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;252.005074696936730;3403.682811912436600
1226;60378;2;2;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;265.529970664344550;4273.932229632457200
1227;60379;3;3;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;277.666014611267030;4675.786053974274200
1228;60380;8;8;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;267.239272506316580;3774.802538670498500
1229;60381;2;2;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;256.166755805817840;3909.486990488855100
1230;60382;2;2;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;274.066963944584360;4545.970850779157400
1231;60383;3;3;5;4;15;15;1;6;2;4;0;0;0;0;4;0;1;0;0;0;;20091023;237.752990824318370;3365.456504023899500
1232;60384;9;9;5;4;15;15;1;6;2;4;0;0;0;0;4;0;1;0;0;0;;20091023;306.138962010957750;5475.980970610742600
1233;60385;0;0;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;290.773232339160590;5027.361155078252500
1234;60386;0;0;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;295.063375253189290;5282.828675804063100
1235;60387;0;0;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;315.587844020510660;5978.077673280476100
1236;60388;0;0;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;294.581828143486290;5434.996701387335600
1237;60389;0;0;3;1;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;174.992577451763990;1260.193225792476800
1238;60390;1;1;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;309.573420303209220;4688.778990865165700
1239;60391;3;3;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;300.225111093984820;4772.380833376865700
1240;60392;8;8;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;284.733508960143240;4945.245164271954300
1241;60393;3;3;5;4;15;15;1;6;2;4;0;0;1;1;0;0;0;0;0;0;;20091023;292.195898089078070;5177.068592805083400
1242;60394;0;0;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;305.758257976054440;5599.713017400221400
1243;60395;10;10;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;304.298598452536050;5448.098363388010500
1244;60396;4;4;5;4;15;15;1;6;2;4;0;0;1;0;0;0;1;0;0;0;;20091023;271.363745164935780;4475.687892740266800
1245;60397;1;1;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;286.912977698617400;4990.754012128751100
1246;60398;4;4;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;293.909062552554360;5248.933029817434500
1247;60399;1;1;3;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;227.074962451256850;2737.585864214984700
1248;60400;2;2;5;4;15;15;1;6;2;4;0;0;0;0;0;0;0;0;0;0;;20091023;291.270692979967750;5227.541456447950600
1249;60401;0;0;5;4;15;15;1;6;2;4;0;0;0;0;0;0;1;0;0;0;;20091023;290.669584977611460;5185.143820281397000
1250;60402;4;2;5;4;15;15;1;6;2;4;0;2;0;0;0;0;1;0;0;0;;20091023;286.221179222761630;5051.191480785790200
1251;60403;14;14;5;4;15;15;1;6;2;4;0;0;1;1;0;0;1;0;0;0;;20091023;283.207841054890310;4920.206842913292300
1252;60510;0;0;5;5;15;15;1;3;1;5;1;0;0;0;0;0;0;0;0;0;;20091026;346.790799085994190;7294.422860311071400
1253;60511;0;0;5;5;15;15;1;3;1;5;1;0;0;0;0;0;0;0;0;0;;20091026;335.098042124303670;7016.235493553394900
